dimensionality_reduction,n_dimensions,n_layers,n_neurons,optimizer_type,learning_rate,epochs,accuracy
pca,50,2,20,sgd,0.01,5,0.029600000008940697
pca,50,2,20,sgd,0.01,20,0.029600000008940697
pca,25,2,20,sgd,0.01,20,0.029600000008940697
umap,25,1,20,sgd,0.001,5,0.029600000008940697
umap,50,1,50,sgd,0.001,5,0.029600000008940697
umap,50,1,50,sgd,0.001,10,0.029600000008940697
umap,25,1,20,sgd,0.01,20,0.029600000008940697
pca,10,2,20,sgd,0.001,5,0.029600000008940697
pca,50,2,50,sgd,0.001,5,0.029199998825788498
pca,50,1,20,adam,0.001,5,0.028599999845027924
pca,25,2,50,adam,0.001,5,0.028599999845027924
pca,50,1,50,sgd,0.01,10,0.028599999845027924
umap,10,2,20,sgd,0.01,10,0.028599999845027924
pca,50,2,50,sgd,0.001,20,0.0284000001847744
umap,10,2,50,adam,0.01,20,0.02759999968111515
umap,10,1,50,sgd,0.01,20,0.027400000020861626
umap,50,1,20,sgd,0.001,5,0.027400000020861626
umap,10,1,20,sgd,0.01,20,0.027400000020861626
pca,25,2,50,sgd,0.001,5,0.027400000020861626
pca,50,1,50,adam,0.001,10,0.027400000020861626
pca,10,2,50,sgd,0.01,20,0.027400000020861626
umap,10,2,20,sgd,0.001,5,0.026999998837709427
umap,50,1,50,sgd,0.01,20,0.026799999177455902
pca,10,2,50,sgd,0.001,5,0.026799999177455902
umap,25,1,50,adam,0.001,10,0.026399999856948853
umap,25,2,50,adam,0.001,10,0.026399999856948853
pca,50,2,20,sgd,0.01,10,0.026200000196695328
umap,10,2,50,sgd,0.001,5,0.026200000196695328
umap,10,2,20,sgd,0.001,20,0.026200000196695328
pca,10,1,50,sgd,0.001,5,0.026200000196695328
pca,10,1,20,adam,0.01,5,0.025999998673796654
pca,50,1,50,sgd,0.001,10,0.025999998673796654
umap,10,2,20,sgd,0.01,20,0.025999998673796654
pca,50,1,20,sgd,0.001,20,0.02579999901354313
umap,10,1,20,adam,0.01,10,0.02579999901354313
umap,10,2,50,sgd,0.01,10,0.02579999901354313
umap,10,2,20,adam,0.01,10,0.02579999901354313
umap,50,2,20,adam,0.01,20,0.02579999901354313
pca,25,1,20,adam,0.001,20,0.02579999901354313
umap,10,2,20,sgd,0.01,5,0.02579999901354313
pca,10,2,50,sgd,0.01,5,0.02579999901354313
umap,50,1,50,adam,0.001,20,0.02579999901354313
umap,25,1,20,adam,0.001,10,0.02579999901354313
umap,50,2,50,adam,0.01,20,0.02579999901354313
umap,10,2,50,adam,0.01,10,0.02579999901354313
umap,50,2,50,sgd,0.01,5,0.02579999901354313
umap,50,2,50,sgd,0.001,5,0.02579999901354313
umap,10,2,50,sgd,0.01,20,0.02579999901354313
pca,25,1,50,sgd,0.01,20,0.02579999901354313
umap,10,1,20,sgd,0.01,5,0.02579999901354313
umap,10,2,50,adam,0.001,20,0.02579999901354313
pca,25,2,50,adam,0.01,5,0.02579999901354313
umap,50,1,50,adam,0.01,20,0.02579999901354313
umap,25,2,50,sgd,0.001,10,0.02579999901354313
umap,25,2,50,sgd,0.001,20,0.02579999901354313
pca,50,1,50,sgd,0.01,5,0.02579999901354313
umap,50,1,20,sgd,0.01,10,0.02579999901354313
pca,25,2,20,sgd,0.001,10,0.02579999901354313
umap,50,1,20,adam,0.01,20,0.02579999901354313
pca,50,2,20,sgd,0.001,5,0.02579999901354313
pca,50,2,20,sgd,0.001,10,0.025599999353289604
pca,10,2,20,sgd,0.01,5,0.025599999353289604
pca,10,1,20,sgd,0.01,20,0.02499999850988388
pca,10,2,50,sgd,0.001,10,0.024799998849630356
pca,25,2,50,sgd,0.001,20,0.02419999986886978
pca,25,2,50,sgd,0.001,10,0.02419999986886978
pca,50,1,20,adam,0.01,20,0.02419999986886978
umap,50,2,50,sgd,0.01,10,0.02419999986886978
pca,10,1,20,adam,0.001,10,0.02419999986886978
pca,10,2,20,sgd,0.01,20,0.02419999986886978
umap,50,1,50,adam,0.001,5,0.02419999986886978
pca,50,1,50,adam,0.001,20,0.02419999986886978
pca,10,2,50,sgd,0.001,20,0.02419999986886978
pca,25,1,20,sgd,0.001,10,0.02419999986886978
umap,25,2,20,adam,0.001,20,0.02419999986886978
umap,10,1,20,adam,0.01,20,0.02419999986886978
pca,25,1,20,adam,0.001,5,0.023000000044703484
umap,25,1,20,sgd,0.001,20,0.022199999541044235
umap,10,2,50,sgd,0.001,10,0.018400000408291817
pca,25,2,20,sgd,0.001,5,0.017999999225139618
umap,10,1,50,adam,0.01,10,0.016200000420212746
pca,25,2,20,sgd,0.01,5,0.014999999664723873
umap,10,1,20,adam,0.001,10,0.0142000000923872
