dimensionality_reduction,n_dimensions,balancing_technique,n_layers,n_neurons,optimizer_type,learning_rate,epochs,valid_accuracy,valid_loss,train_accuracy,train_loss
none,1,undersample,0,50,adam,0.1,200,0.27619999647140503,2.503685474395752,0.29864445328712463,2.3342742919921875
none,1,undersample,1,10,adam,0.01,175,0.2680000066757202,2.5037245750427246,0.27828890085220337,2.442901134490967
none,1,oversample,0,50,adam,0.1,200,0.2757999897003174,2.5037806034088135,0.29884445667266846,2.3342413902282715
none,1,oversample,0,10,adam,0.1,200,0.27619999647140503,2.503803253173828,0.29873332381248474,2.3342671394348145
none,1,oversample,1,10,adam,0.01,125,0.26919999718666077,2.5038256645202637,0.2766222357749939,2.4505391120910645
none,1,undersample,0,10,adam,0.1,200,0.2766000032424927,2.503840208053589,0.29857778549194336,2.3342909812927246
none,1,oversample,0,100,adam,0.1,200,0.27619999647140503,2.503852128982544,0.29873332381248474,2.3342175483703613
none,1,undersample,0,100,adam,0.1,200,0.27619999647140503,2.5039737224578857,0.29857778549194336,2.334214448928833
none,1,none,0,100,adam,0.1,200,0.2757999897003174,2.5042264461517334,0.29866665601730347,2.3342936038970947
none,1,none,0,50,adam,0.1,200,0.2757999897003174,2.5043632984161377,0.2985333502292633,2.33447003364563
none,1,none,0,100,adam,0.01,100,0.26499998569488525,2.5057969093322754,0.27142223715782166,2.4392669200897217
none,1,oversample,0,10,adam,0.01,100,0.26319998502731323,2.506046772003174,0.2711111009120941,2.4390223026275635
none,1,none,2,50,adam,0.01,100,0.2687999904155731,2.5060954093933105,0.29286667704582214,2.393110752105713
none,1,oversample,0,50,adam,0.01,100,0.26339998841285706,2.506282329559326,0.2709999978542328,2.4399220943450928
none,1,undersample,2,100,adam,0.01,125,0.27320000529289246,2.506300210952759,0.3046889007091522,2.3384287357330322
none,1,undersample,0,50,adam,0.01,100,0.2645999789237976,2.506312608718872,0.27068889141082764,2.439858913421631
none,1,none,0,50,adam,0.01,100,0.26319998502731323,2.506505250930786,0.2709111273288727,2.4403269290924072
none,1,undersample,0,100,adam,0.01,100,0.2651999890804291,2.5066380500793457,0.2707555592060089,2.4401774406433105
none,1,undersample,0,10,adam,0.01,100,0.26339998841285706,2.506701946258545,0.27122223377227783,2.440638303756714
none,1,none,0,10,adam,0.01,100,0.262800008058548,2.506784200668335,0.27077779173851013,2.4405951499938965
none,1,oversample,0,100,adam,0.01,100,0.2637999951839447,2.5069010257720947,0.27053332328796387,2.4403226375579834
none,1,none,1,50,adam,0.001,200,0.2645999789237976,2.5090537071228027,0.2726222276687622,2.4645485877990723
none,1,none,2,100,adam,0.001,175,0.2653999924659729,2.5095129013061523,0.2758222222328186,2.452657699584961
none,1,undersample,2,50,adam,0.01,200,0.27160000801086426,2.5099546909332275,0.31626665592193604,2.298894166946411
none,1,undersample,1,50,adam,0.01,200,0.2791999876499176,2.5102193355560303,0.316222220659256,2.2754688262939453
none,1,undersample,1,10,adam,0.01,200,0.2651999890804291,2.510684013366699,0.2772444486618042,2.445864677429199
none,1,undersample,2,100,adam,0.001,175,0.2645999789237976,2.51114559173584,0.27968889474868774,2.4534237384796143
none,1,oversample,3,50,adam,0.01,175,0.2717999815940857,2.511301040649414,0.3043999969959259,2.3500120639801025
none,1,undersample,2,100,adam,0.01,80,0.26819998025894165,2.511687755584717,0.28413334488868713,2.4231674671173096
none,1,oversample,1,10,adam,0.01,200,0.2645999789237976,2.511751651763916,0.2774222195148468,2.437856912612915
none,1,oversample,2,100,adam,0.01,80,0.26919999718666077,2.5124387741088867,0.29115554690361023,2.3981211185455322
none,1,oversample,1,50,adam,0.01,200,0.26980000734329224,2.5124878883361816,0.32251110672950745,2.253207206726074
none,1,oversample,2,100,adam,0.01,125,0.2717999815940857,2.512779474258423,0.31520000100135803,2.2965214252471924
none,1,undersample,1,100,adam,0.01,125,0.2717999815940857,2.5137884616851807,0.31513333320617676,2.28066086769104
none,1,undersample,1,100,adam,0.001,150,0.2624000012874603,2.5138866901397705,0.2704888880252838,2.47529673576355
none,1,none,1,100,adam,0.01,125,0.2735999822616577,2.5146167278289795,0.3302000164985657,2.234135150909424
none,1,oversample,1,10,adam,0.01,175,0.26420000195503235,2.515576124191284,0.2742222249507904,2.4493536949157715
none,1,undersample,2,50,adam,0.01,100,0.2678000032901764,2.5175912380218506,0.280822217464447,2.433473587036133
none,1,none,1,10,adam,0.1,125,0.27140000462532043,2.5180163383483887,0.278511106967926,2.447334051132202
none,1,oversample,1,100,adam,0.001,150,0.2619999945163727,2.5181143283843994,0.27026668190956116,2.479623556137085
none,1,none,2,50,adam,0.01,80,0.2651999890804291,2.518512010574341,0.2700444459915161,2.465552806854248
none,1,undersample,1,100,adam,0.01,150,0.27459999918937683,2.5185747146606445,0.3305777907371521,2.2287497520446777
none,1,none,1,10,adam,0.01,150,0.26440000534057617,2.5186729431152344,0.2706444561481476,2.46085786819458
none,1,oversample,1,10,adam,0.1,175,0.2651999890804291,2.5192387104034424,0.27684444189071655,2.4520535469055176
none,1,oversample,3,50,adam,0.01,200,0.26819998025894165,2.5199718475341797,0.304666668176651,2.337188482284546
none,1,oversample,1,50,adam,0.001,200,0.26440000534057617,2.5200061798095703,0.27131110429763794,2.477099895477295
none,1,none,3,50,adam,0.01,150,0.26639997959136963,2.520413875579834,0.2905333340167999,2.4069931507110596
none,1,oversample,2,50,adam,0.01,200,0.2712000012397766,2.521138906478882,0.32215556502342224,2.2714028358459473
